task_id,fragment,witnesses_found,emit_success,compiler_pass,errors
bench_assoc_type_01_pos_0,core_emit,5,True,True,
bench_assoc_type_01_pos_1,core_emit,5,True,True,
bench_assoc_type_01_pos_2,core_emit,5,True,True,
bench_cap_alias_diff_cap_01_pos_0,core_emit,5,True,True,
bench_cap_alias_diff_cap_01_pos_1,core_emit,5,True,True,
bench_cap_alias_diff_cap_01_pos_2,core_emit,5,True,True,
bench_cap_copy_reuse_01_pos_0,core_emit,5,True,True,
bench_cap_copy_reuse_01_pos_1,core_emit,5,True,True,
bench_cap_copy_reuse_01_pos_2,core_emit,5,True,True,
bench_cap_freeze_unfreeze_01_pos_0,core_emit,5,True,True,
bench_cap_freeze_unfreeze_01_pos_1,core_emit,5,True,True,
bench_cap_freeze_unfreeze_01_pos_2,core_emit,5,True,True,
bench_cap_move_vs_copy_01_pos_0,core_emit,5,True,True,
bench_cap_move_vs_copy_01_pos_1,core_emit,5,True,True,
bench_cap_move_vs_copy_01_pos_2,core_emit,5,True,True,
bench_cap_own_frz_blk_01_pos_0,core_emit,5,True,True,
bench_cap_own_frz_blk_01_pos_1,core_emit,5,True,True,
bench_cap_own_frz_blk_01_pos_2,core_emit,5,True,True,
bench_copy_clone_01_pos_0,core_emit,4,True,True,
bench_copy_clone_01_pos_1,core_emit,4,True,True,
bench_copy_clone_01_pos_2,core_emit,4,True,True,
bench_ctor_chain_01_pos_0,core_emit,5,True,True,
bench_ctor_chain_01_pos_1,core_emit,5,True,True,
bench_ctor_chain_01_pos_2,core_emit,5,True,True,
bench_drop_unfreeze_01_pos_0,core_emit,5,True,True,
bench_drop_unfreeze_01_pos_1,core_emit,5,True,True,
bench_drop_unfreeze_01_pos_2,core_emit,5,True,True,
bench_lifetime_nest_01_pos_0,core_emit,5,True,True,
bench_lifetime_nest_01_pos_1,core_emit,5,True,True,
bench_lifetime_nest_01_pos_2,core_emit,5,True,True,
bench_mixed_ambig_provider_01_pos_0,core_emit,5,True,True,
bench_mixed_ambig_provider_01_pos_1,core_emit,5,True,True,
bench_mixed_ambig_provider_01_pos_2,core_emit,5,True,True,
bench_mixed_ctor_borrow_proj_01_pos_0,core_emit,5,True,True,
bench_mixed_ctor_borrow_proj_01_pos_1,core_emit,5,True,True,
bench_mixed_ctor_borrow_proj_01_pos_2,core_emit,5,True,True,
bench_mixed_long_chain_01_pos_0,core_emit,5,True,True,
